,gtfs_route_id,service_date,peak_offpeak_ind,otp_numerator,otp_denominator
343,43,2018-02-21,OFF_PEAK,164.0,314.0
344,749,2018-02-21,PEAK,343.0,488.0
345,751,2018-02-21,OFF_PEAK,855.0,1078.0
346,749,2018-02-21,OFF_PEAK,1181.0,1515.0
347,751,2018-02-21,PEAK,338.0,445.0
348,43,2018-02-22,PEAK,72.0,140.0
349,1,2018-02-22,PEAK,331.0,504.0
350,1,2018-02-22,OFF_PEAK,894.0,1278.0
351,43,2018-02-22,OFF_PEAK,172.0,358.0
352,749,2018-02-22,OFF_PEAK,1632.0,1966.0
353,751,2018-02-22,PEAK,323.0,424.0
354,751,2018-02-22,OFF_PEAK,944.0,1167.0
355,749,2018-02-22,PEAK,608.0,782.0
356,751,2018-02-23,OFF_PEAK,1092.0,1331.0
357,749,2018-02-23,PEAK,605.0,772.0
358,749,2018-02-23,OFF_PEAK,1389.0,1806.0
359,1,2018-02-23,PEAK,300.0,397.0
360,1,2018-02-23,OFF_PEAK,838.0,1206.0
361,43,2018-02-23,OFF_PEAK,156.0,356.0
362,43,2018-02-23,PEAK,68.0,140.0
363,751,2018-02-23,PEAK,405.0,497.0
364,1,2018-02-24,OFF_PEAK,1195.0,1640.0
365,43,2018-02-24,OFF_PEAK,255.0,505.0
366,749,2018-02-24,OFF_PEAK,2236.0,2799.0
367,751,2018-02-24,OFF_PEAK,1179.0,1420.0
368,751,2018-02-25,OFF_PEAK,970.0,1315.0
369,749,2018-02-25,OFF_PEAK,2009.0,2572.0
370,1,2018-02-25,OFF_PEAK,799.0,1103.0
371,43,2018-02-25,OFF_PEAK,243.0,405.0
372,1,2018-02-26,OFF_PEAK,939.0,1216.0
373,751,2018-02-26,OFF_PEAK,1167.0,1357.0
374,751,2018-02-26,PEAK,434.0,487.0
375,749,2018-02-26,OFF_PEAK,1434.0,1831.0
376,749,2018-02-26,PEAK,527.0,701.0
377,1,2018-02-26,PEAK,264.0,397.0
378,43,2018-02-26,OFF_PEAK,280.0,358.0
379,43,2018-02-26,PEAK,88.0,140.0
380,1,2018-02-27,OFF_PEAK,1018.0,1385.0
381,1,2018-02-27,PEAK,332.0,467.0
382,749,2018-02-27,OFF_PEAK,1740.0,2247.0
383,43,2018-02-27,PEAK,62.0,138.0
384,751,2018-02-27,OFF_PEAK,975.0,1268.0
385,751,2018-02-27,PEAK,398.0,495.0
386,749,2018-02-27,PEAK,629.0,852.0
387,43,2018-02-27,OFF_PEAK,173.0,349.0
388,749,2018-02-28,PEAK,652.0,766.0
389,751,2018-02-28,PEAK,381.0,497.0
390,749,2018-02-28,OFF_PEAK,1754.0,2182.0
391,43,2018-02-28,OFF_PEAK,212.0,356.0
