gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
73,73,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,845,984,
73,73,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,538,638,
74,74,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,44,74,
74,74,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,184,232,
75,75,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,69,94,
75,75,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,34,48,
76,76,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,69,139,
76,76,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,176,225,
77,77,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,1157,1523,
77,77,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,380,515,
78,78,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,91,133,
78,78,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,256,340,
79,79,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,159,215,
79,79,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,88,125,
80,80,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,79,162,
80,80,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,315,431,
83,83,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,64,99,
83,83,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,218,292,
84,84,,Limited Service,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,17,18,
84,84,,Limited Service,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,52,86,
85,85,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,58,93,
85,85,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,20,38,
86,86,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,153,234,
86,86,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,323,492,
87,87,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,373,520,
87,87,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,103,199,
88,88,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,131,211,
88,88,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,436,548,
89,89,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,127,209,
89,89,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,198,306,
90,90,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,88,130,
90,90,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,31,55,
91,91,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,122,215,
91,91,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,20,60,
92,92,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,77,120,
92,92,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,154,232,
93,93,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,266,398,
93,93,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,149,247,
94,94,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,86,150,
94,94,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,255,296,
95,95,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,45,103,
95,95,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,151,220,
96,96,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,239,391,
96,96,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,122,203,
97,97,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,58,72,
97,97,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,71,88,
99,99,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,111,165,
99,99,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,59,90,
100,100,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,204,233,
100,100,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,59,122,
101,101,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,346,527,
101,101,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,226,321,
104,104,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,104,173,
104,104,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,129,340,
105,105,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,27,64,
105,105,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,43,92,
106,106,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,210,309,
106,106,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,99,141,
108,108,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,85,142,
108,108,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,205,301,
109,109,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,238,460,
109,109,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,105,207,
110,110,,Local Bus,Other Bus,Bus,2018-05-14,PEAK,Headway / Schedule Adherence,146,271,
110,110,,Local Bus,Other Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,301,431,
111,111,,Key Bus Route (Frequent Service),Key Bus,Bus,2018-05-14,OFF_PEAK,Headway / Schedule Adherence,1581,2077,
